Year,VanIcevMpg,VanHevMpg,VanBevMpkwh,BusIcevMpg,BusHevMpg,BusBevMpkwh,RailIcevMpg,RailHevMpg,RailEvMpkwh
1990,5.547619047619049,11.30000000000001,0.9600000000000002,3.7090476190476185,5.900000000000001,0.608,1.6000000000000003,1.6000000000000003,0.09604523809523811
1991,5.471428571428572,11.300000000000008,0.9600000000000003,3.718571428571429,5.900000000000002,0.608,1.6000000000000005,1.6000000000000005,0.09675285714285717
1992,5.442857142857145,11.300000000000006,0.9600000000000003,3.727142857142858,5.900000000000003,0.608,1.6000000000000008,1.6000000000000008,0.09760571428571432
1993,5.461904761904766,11.300000000000008,0.9600000000000005,3.734761904761907,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.0986038095238096
1994,5.480952380952385,11.300000000000008,0.9600000000000005,3.7423809523809544,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.09960190476190482
1995,5.614285714285717,11.300000000000008,0.9600000000000005,3.747714285714288,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.10094857142857148
1996,5.880952380952385,11.300000000000008,0.9600000000000005,3.750380952380955,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.10270190476190481
1997,6.261904761904766,11.300000000000008,0.9600000000000005,3.750761904761907,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.10480380952380958
1998,6.738095238095242,11.300000000000008,0.9600000000000005,3.7501904761904785,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.10710476190476198
1999,7.119047619047623,11.300000000000008,0.9600000000000005,3.7500952380952404,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.10925238095238102
2000,7.38571428571429,11.300000000000008,0.9600000000000005,3.7494285714285738,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.11132571428571436
2001,7.519047619047623,11.300000000000008,0.9600000000000005,3.7480952380952406,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.11331238095238103
2002,7.538095238095243,11.300000000000008,0.9600000000000005,3.746190476190479,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.11522476190476197
2003,7.480952380952386,11.300000000000008,0.9600000000000005,3.7401904761904783,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.11693238095238101
2004,7.490476190476195,11.300000000000008,0.9600000000000005,3.74009523809524,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.11891619047619055
2005,7.557142857142861,11.300000000000008,0.9600000000000005,3.7514285714285736,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.12140285714285723
2006,7.690476190476195,11.300000000000008,0.9600000000000005,3.77609523809524,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.12447619047619056
2007,7.880952380952387,11.300000000000008,0.9600000000000005,3.812190476190478,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.12805238095238103
2008,8.119047619047624,11.300000000000008,0.9600000000000005,3.851904761904764,5.900000000000004,0.6079771428571432,1.600000000000001,1.600000000000001,0.1319790476190477
2009,8.309523809523814,11.300000000000008,0.9600000000000005,3.890952380952384,5.900000000000004,0.6079885714285718,1.600000000000001,1.600000000000001,0.13558952380952388
2010,8.442857142857148,11.300000000000008,0.9600000000000005,3.9362857142857166,5.900000000000004,0.6080685714285718,1.600000000000001,1.600000000000001,0.13890285714285722
2011,8.509523809523815,11.300000000000008,0.9600000000000005,3.9889523809523837,5.900000000000004,0.6082285714285718,1.600000000000001,1.600000000000001,0.14186761904761913
2012,8.519047619047624,11.300000000000008,0.9600000000000005,4.047904761904764,5.900000000000004,0.6084571428571433,1.600000000000001,1.600000000000001,0.14454190476190487
2013,8.479047619047623,11.27142857142858,0.9588571428571433,4.1095714285714315,5.888571428571432,0.6084000000000003,1.5980952380952391,1.5980952380952391,0.14722952380952392
2014,8.489523809523815,11.285714285714292,0.959428571428572,4.169785714285716,5.894285714285719,0.6088000000000002,1.5990476190476202,1.5990476190476202,0.14976857142857153
2015,8.562857142857148,11.385714285714293,0.963428571428572,4.231285714285717,5.934285714285718,0.6101600000000004,1.6057142857142868,1.6057142857142868,0.1518142857142858
2016,8.709523809523814,11.585714285714293,0.971428571428572,4.294285714285717,6.014285714285718,0.6126400000000003,1.61904761904762,1.61904761904762,0.15328476190476198
2017,8.919047619047625,11.871428571428577,0.9828571428571435,4.358571428571431,6.128571428571432,0.6160800000000004,1.6380952380952392,1.6380952380952392,0.15426190476190488
2018,9.180952380952387,12.228571428571435,0.9971428571428577,4.422785714285717,6.271428571428574,0.6196419047619051,1.661904761904763,1.661904761904763,0.15491047619047627
2019,9.390476190476196,12.514285714285723,1.0085714285714291,4.48764285714286,6.38571428571429,0.6234209523809527,1.680952380952382,1.680952380952382,0.15585523809523819
2020,9.537142857142864,12.714285714285722,1.0165714285714291,4.55464285714286,6.46571428571429,0.6282742857142862,1.6942857142857153,1.6942857142857153,0.15706857142857156
2021,9.6,12.8,1.02,4.6245,6.5,0.63456,1.7,1.7,0.15864
2022,9.6,12.8,1.02,4.6965,6.5,0.64192,1.7,1.7,0.16048
2023,9.6,12.8,1.02,4.7685,6.5,0.64928,1.7,1.7,0.16232
2024,9.6,12.8,1.02,4.8405,6.5,0.65664,1.7,1.7,0.16416
2025,9.6,12.8,1.02,4.9125,6.5,0.664,1.7,1.7,0.166
2026,9.84,13.1,1.032,4.9875,6.7,0.672,1.74,1.74,0.168
2027,10.08,13.4,1.044,5.0625,6.9,0.68,1.78,1.78,0.17
2028,10.32,13.7,1.056,5.1375,7.1,0.688,1.82,1.82,0.172
2029,10.56,14.0,1.068,5.2125,7.3,0.696,1.86,1.86,0.174
2030,10.8,14.3,1.08,5.2875,7.5,0.704,1.9,1.9,0.176
2031,10.8,14.3,1.08,5.34,7.5,0.712,1.9,1.9,0.178
2032,10.8,14.3,1.08,5.3925,7.5,0.72,1.9,1.9,0.18
2033,10.8,14.3,1.08,5.445,7.5,0.728,1.9,1.9,0.182
2034,10.8,14.3,1.08,5.4975,7.5,0.736,1.9,1.9,0.184
2035,10.8,14.3,1.08,5.55,7.5,0.744,1.9,1.9,0.186
2036,10.8,14.3,1.092,5.565,7.5,0.752,1.9,1.9,0.188
2037,10.8,14.3,1.104,5.58,7.5,0.76,1.9,1.9,0.19
2038,10.8,14.3,1.116,5.595,7.5,0.768,1.9,1.9,0.192
2039,10.8,14.3,1.128,5.61,7.5,0.776,1.9,1.9,0.194
2040,10.8,14.3,1.14,5.625,7.5,0.784,1.9,1.9,0.196
2041,10.8,14.3,1.14,5.625,7.5,0.792,1.9,1.9,0.198
2042,10.8,14.3,1.14,5.625,7.5,0.8,1.9,1.9,0.2
2043,10.8,14.3,1.14,5.625,7.5,0.808,1.9,1.9,0.202
2044,10.8,14.3,1.14,5.625,7.5,0.816,1.9,1.9,0.204
2045,10.8,14.3,1.14,5.625,7.5,0.824,1.9,1.9,0.206
2046,10.8,14.3,1.152,5.625,7.5,0.832,1.9,1.9,0.208
2047,10.8,14.3,1.164,5.625,7.5,0.84,1.9,1.9,0.21
2048,10.8,14.3,1.176,5.625,7.5,0.848,1.9,1.9,0.212
2049,10.8,14.3,1.188,5.625,7.5,0.856,1.9,1.9,0.214
2050,10.8,14.3,1.2,5.625,7.5,0.864,1.9,1.9,0.216
