Geo,Year,AutoMeanAge,LtTrkMeanAge
Baker,1990,8.6,9.42
Benton,1990,7.6,8.49
Clackamas,1990,7.04,7.67
Clatsop,1990,7.81,8.62
Columbia,1990,8.24,9.27
Coos,1990,8.73,9.55
Crook,1990,8.77,9.44
Curry,1990,8.15,9.22
Deschutes,1990,7.76,8.29
Douglas,1990,8.51,9.52
Gilliam,1990,8.18,8.95
Grant,1990,9.05,10.03
Harney,1990,8.9,10.01
Hood River,1990,8.28,9.21
Jackson,1990,7.84,8.95
Jefferson,1990,8.6,9.6
Josephine,1990,8.46,9.69
Klamath,1990,8.51,9.44
Lake,1990,9.25,9.94
Lane,1990,7.99,8.91
Lincoln,1990,8.01,8.86
Linn,1990,8.39,9.34
Malheur,1990,8.4,9.41
Marion,1990,7.97,8.68
Morrow,1990,7.91,8.79
Multnomah,1990,6.8,7.53
Polk,1990,7.7,8.63
Sherman,1990,8.32,9.08
Tillamook,1990,8.1,9.32
Umatilla,1990,8.02,8.88
Union,1990,8.27,8.92
Wallowa,1990,8.3,9.35
Wasco,1990,8.44,9.5
Washington,1990,6.33,6.74
Wheeler,1990,8.5,9.78
Yamhill,1990,8.13,9
Baker,1995,9.43,10.33
Benton,1995,8.34,9.31
Clackamas,1995,7.72,8.42
Clatsop,1995,8.56,9.45
Columbia,1995,9.03,10.16
Coos,1995,9.58,10.47
Crook,1995,9.62,10.35
Curry,1995,8.94,10.11
Deschutes,1995,8.51,9.09
Douglas,1995,9.34,10.44
Gilliam,1995,8.97,9.81
Grant,1995,9.92,11
Harney,1995,9.76,10.98
Hood River,1995,9.09,10.1
Jackson,1995,8.6,9.82
Jefferson,1995,9.43,10.53
Josephine,1995,9.28,10.62
Klamath,1995,9.33,10.35
Lake,1995,10.15,10.9
Lane,1995,8.76,9.77
Lincoln,1995,8.78,9.71
Linn,1995,9.2,10.24
Malheur,1995,9.21,10.32
Marion,1995,8.74,9.52
Morrow,1995,8.68,9.64
Multnomah,1995,7.45,8.26
Polk,1995,8.45,9.47
Sherman,1995,9.12,9.96
Tillamook,1995,8.88,10.23
Umatilla,1995,8.8,9.74
Union,1995,9.07,9.78
Wallowa,1995,9.11,10.26
Wasco,1995,9.26,10.42
Washington,1995,6.94,7.4
Wheeler,1995,9.32,10.72
Yamhill,1995,8.92,9.87
Baker,2000,10.22,10.46
Benton,2000,9.03,9.43
Clackamas,2000,8.36,8.52
Clatsop,2000,9.27,9.56
Columbia,2000,9.79,10.28
Coos,2000,10.37,10.6
Crook,2000,10.42,10.48
Curry,2000,9.68,10.23
Deschutes,2000,9.22,9.2
Douglas,2000,10.11,10.57
Gilliam,2000,9.72,9.93
Grant,2000,10.75,11.13
Harney,2000,10.58,11.11
Hood River,2000,9.84,10.22
Jackson,2000,9.32,9.94
Jefferson,2000,10.22,10.66
Josephine,2000,10.05,10.75
Klamath,2000,10.11,10.48
Lake,2000,10.99,11.03
Lane,2000,9.5,9.89
Lincoln,2000,9.51,9.83
Linn,2000,9.97,10.36
Malheur,2000,9.98,10.44
Marion,2000,9.47,9.64
Morrow,2000,9.4,9.76
Multnomah,2000,8.08,8.36
Polk,2000,9.15,9.58
Sherman,2000,9.88,10.08
Tillamook,2000,9.62,10.35
Umatilla,2000,9.53,9.86
Union,2000,9.83,9.9
Wallowa,2000,9.86,10.38
Wasco,2000,10.03,10.54
Washington,2000,7.52,7.49
Wheeler,2000,10.09,10.85
Yamhill,2000,9.66,9.99
Baker,2005,11.34,11.83
Benton,2005,10.02,10.66
Clackamas,2005,9.28,9.63
Clatsop,2005,10.29,10.82
Columbia,2005,10.86,11.63
Coos,2005,11.51,11.99
Crook,2005,11.57,11.85
Curry,2005,10.75,11.57
Deschutes,2005,10.23,10.41
Douglas,2005,11.22,11.95
Gilliam,2005,10.79,11.23
Grant,2005,11.93,12.59
Harney,2005,11.74,12.57
Hood River,2005,10.92,11.56
Jackson,2005,10.34,11.24
Jefferson,2005,11.34,12.05
Josephine,2005,11.16,12.16
Klamath,2005,11.22,11.85
Lake,2005,12.2,12.47
Lane,2005,10.54,11.18
Lincoln,2005,10.56,11.12
Linn,2005,11.06,11.72
Malheur,2005,11.08,11.81
Marion,2005,10.51,10.9
Morrow,2005,10.43,11.04
Multnomah,2005,8.96,9.45
Polk,2005,10.16,10.84
Sherman,2005,10.97,11.4
Tillamook,2005,10.68,11.7
Umatilla,2005,10.58,11.15
Union,2005,10.91,11.19
Wallowa,2005,10.95,11.74
Wasco,2005,11.13,11.93
Washington,2005,8.34,8.47
Wheeler,2005,11.2,12.27
Yamhill,2005,10.72,11.3
Baker,2010,12.13,13.07
Benton,2010,10.72,11.78
Clackamas,2010,9.92,10.65
Clatsop,2010,11.01,11.96
Columbia,2010,11.61,12.86
Coos,2010,12.31,13.25
Crook,2010,12.37,13.1
Curry,2010,11.49,12.79
Deschutes,2010,10.94,11.5
Douglas,2010,12,13.21
Gilliam,2010,11.54,12.41
Grant,2010,12.76,13.91
Harney,2010,12.55,13.89
Hood River,2010,11.68,12.78
Jackson,2010,11.06,12.42
Jefferson,2010,12.13,13.32
Josephine,2010,11.93,13.44
Klamath,2010,11.99,13.09
Lake,2010,13.05,13.79
Lane,2010,11.27,12.36
Lincoln,2010,11.29,12.29
Linn,2010,11.83,12.96
Malheur,2010,11.84,13.05
Marion,2010,11.24,12.05
Morrow,2010,11.16,12.2
Multnomah,2010,9.58,10.45
Polk,2010,10.86,11.98
Sherman,2010,11.73,12.6
Tillamook,2010,11.42,12.94
Umatilla,2010,11.31,12.32
Union,2010,11.66,12.37
Wallowa,2010,11.71,12.98
Wasco,2010,11.9,13.18
Washington,2010,8.92,9.36
Wheeler,2010,11.98,13.56
Yamhill,2010,11.46,12.49
Baker,2015,12.91,13.99
Benton,2015,11.41,12.9
Clackamas,2015,10.57,11.66
Clatsop,2015,11.72,13.09
Columbia,2015,12.37,13.99
Coos,2015,13.11,13.99
Crook,2015,13.17,13.99
Curry,2015,12.24,13.99
Deschutes,2015,11.65,12.6
Douglas,2015,12.78,13.99
Gilliam,2015,12.28,13.59
Grant,2015,13.58,13.99
Harney,2015,13.37,13.99
Hood River,2015,12.44,13.99
Jackson,2015,11.77,13.6
Jefferson,2015,12.92,13.99
Josephine,2015,12.71,13.99
Klamath,2015,12.77,13.99
Lake,2015,13.89,13.99
Lane,2015,12,13.54
Lincoln,2015,12.02,13.46
Linn,2015,12.6,13.99
Malheur,2015,12.61,13.99
Marion,2015,11.97,13.19
Morrow,2015,11.88,13.36
Multnomah,2015,10.21,11.44
Polk,2015,11.57,13.12
Sherman,2015,12.49,13.8
Tillamook,2015,12.16,13.99
Umatilla,2015,12.05,13.5
Union,2015,12.42,13.55
Wallowa,2015,12.47,13.99
Wasco,2015,12.67,13.99
Washington,2015,9.5,10.25
Wheeler,2015,12.76,13.99
Yamhill,2015,12.21,13.68
Baker,2020,13.02,13.99
Benton,2020,11.51,13.02
Clackamas,2020,10.66,11.76
Clatsop,2020,11.82,13.21
Columbia,2020,12.47,13.99
Coos,2020,13.22,13.99
Crook,2020,13.28,13.99
Curry,2020,12.34,13.99
Deschutes,2020,11.75,12.71
Douglas,2020,12.89,13.99
Gilliam,2020,12.39,13.71
Grant,2020,13.7,13.99
Harney,2020,13.48,13.99
Hood River,2020,12.55,13.99
Jackson,2020,11.87,13.72
Jefferson,2020,13.03,13.99
Josephine,2020,12.82,13.99
Klamath,2020,12.88,13.99
Lake,2020,13.99,13.99
Lane,2020,12.1,13.66
Lincoln,2020,12.13,13.58
Linn,2020,12.71,13.99
Malheur,2020,12.72,13.99
Marion,2020,12.07,13.31
Morrow,2020,11.98,13.48
Multnomah,2020,10.29,11.54
Polk,2020,11.67,13.23
Sherman,2020,12.6,13.92
Tillamook,2020,12.26,13.99
Umatilla,2020,12.15,13.61
Union,2020,12.53,13.67
Wallowa,2020,12.57,13.99
Wasco,2020,12.78,13.99
Washington,2020,9.58,10.34
Wheeler,2020,12.87,13.99
Yamhill,2020,12.31,13.8
Baker,2025,13.02,13.99
Benton,2025,11.51,13.02
Clackamas,2025,10.66,11.76
Clatsop,2025,11.82,13.21
Columbia,2025,12.47,13.99
Coos,2025,13.22,13.99
Crook,2025,13.28,13.99
Curry,2025,12.34,13.99
Deschutes,2025,11.75,12.71
Douglas,2025,12.89,13.99
Gilliam,2025,12.39,13.71
Grant,2025,13.7,13.99
Harney,2025,13.48,13.99
Hood River,2025,12.55,13.99
Jackson,2025,11.87,13.72
Jefferson,2025,13.03,13.99
Josephine,2025,12.82,13.99
Klamath,2025,12.88,13.99
Lake,2025,13.99,13.99
Lane,2025,12.1,13.66
Lincoln,2025,12.13,13.58
Linn,2025,12.71,13.99
Malheur,2025,12.72,13.99
Marion,2025,12.07,13.31
Morrow,2025,11.98,13.48
Multnomah,2025,10.29,11.54
Polk,2025,11.67,13.23
Sherman,2025,12.6,13.92
Tillamook,2025,12.26,13.99
Umatilla,2025,12.15,13.61
Union,2025,12.53,13.67
Wallowa,2025,12.57,13.99
Wasco,2025,12.78,13.99
Washington,2025,9.58,10.34
Wheeler,2025,12.87,13.99
Yamhill,2025,12.31,13.8
Baker,2030,13.02,13.99
Benton,2030,11.51,13.02
Clackamas,2030,10.66,11.76
Clatsop,2030,11.82,13.21
Columbia,2030,12.47,13.99
Coos,2030,13.22,13.99
Crook,2030,13.28,13.99
Curry,2030,12.34,13.99
Deschutes,2030,11.75,12.71
Douglas,2030,12.89,13.99
Gilliam,2030,12.39,13.71
Grant,2030,13.7,13.99
Harney,2030,13.48,13.99
Hood River,2030,12.55,13.99
Jackson,2030,11.87,13.72
Jefferson,2030,13.03,13.99
Josephine,2030,12.82,13.99
Klamath,2030,12.88,13.99
Lake,2030,13.99,13.99
Lane,2030,12.1,13.66
Lincoln,2030,12.13,13.58
Linn,2030,12.71,13.99
Malheur,2030,12.72,13.99
Marion,2030,12.07,13.31
Morrow,2030,11.98,13.48
Multnomah,2030,10.29,11.54
Polk,2030,11.67,13.23
Sherman,2030,12.6,13.92
Tillamook,2030,12.26,13.99
Umatilla,2030,12.15,13.61
Union,2030,12.53,13.67
Wallowa,2030,12.57,13.99
Wasco,2030,12.78,13.99
Washington,2030,9.58,10.34
Wheeler,2030,12.87,13.99
Yamhill,2030,12.31,13.8
Baker,2035,13.02,13.99
Benton,2035,11.51,13.02
Clackamas,2035,10.66,11.76
Clatsop,2035,11.82,13.21
Columbia,2035,12.47,13.99
Coos,2035,13.22,13.99
Crook,2035,13.28,13.99
Curry,2035,12.34,13.99
Deschutes,2035,11.75,12.71
Douglas,2035,12.89,13.99
Gilliam,2035,12.39,13.71
Grant,2035,13.7,13.99
Harney,2035,13.48,13.99
Hood River,2035,12.55,13.99
Jackson,2035,11.87,13.72
Jefferson,2035,13.03,13.99
Josephine,2035,12.82,13.99
Klamath,2035,12.88,13.99
Lake,2035,13.99,13.99
Lane,2035,12.1,13.66
Lincoln,2035,12.13,13.58
Linn,2035,12.71,13.99
Malheur,2035,12.72,13.99
Marion,2035,12.07,13.31
Morrow,2035,11.98,13.48
Multnomah,2035,10.29,11.54
Polk,2035,11.67,13.23
Sherman,2035,12.6,13.92
Tillamook,2035,12.26,13.99
Umatilla,2035,12.15,13.61
Union,2035,12.53,13.67
Wallowa,2035,12.57,13.99
Wasco,2035,12.78,13.99
Washington,2035,9.58,10.34
Wheeler,2035,12.87,13.99
Yamhill,2035,12.31,13.8
Baker,2040,13.02,13.99
Benton,2040,11.51,13.02
Clackamas,2040,10.66,11.76
Clatsop,2040,11.82,13.21
Columbia,2040,12.47,13.99
Coos,2040,13.22,13.99
Crook,2040,13.28,13.99
Curry,2040,12.34,13.99
Deschutes,2040,11.75,12.71
Douglas,2040,12.89,13.99
Gilliam,2040,12.39,13.71
Grant,2040,13.7,13.99
Harney,2040,13.48,13.99
Hood River,2040,12.55,13.99
Jackson,2040,11.87,13.72
Jefferson,2040,13.03,13.99
Josephine,2040,12.82,13.99
Klamath,2040,12.88,13.99
Lake,2040,13.99,13.99
Lane,2040,12.1,13.66
Lincoln,2040,12.13,13.58
Linn,2040,12.71,13.99
Malheur,2040,12.72,13.99
Marion,2040,12.07,13.31
Morrow,2040,11.98,13.48
Multnomah,2040,10.29,11.54
Polk,2040,11.67,13.23
Sherman,2040,12.6,13.92
Tillamook,2040,12.26,13.99
Umatilla,2040,12.15,13.61
Union,2040,12.53,13.67
Wallowa,2040,12.57,13.99
Wasco,2040,12.78,13.99
Washington,2040,9.58,10.34
Wheeler,2040,12.87,13.99
Yamhill,2040,12.31,13.8
Baker,2045,13.02,13.99
Benton,2045,11.51,13.02
Clackamas,2045,10.66,11.76
Clatsop,2045,11.82,13.21
Columbia,2045,12.47,13.99
Coos,2045,13.22,13.99
Crook,2045,13.28,13.99
Curry,2045,12.34,13.99
Deschutes,2045,11.75,12.71
Douglas,2045,12.89,13.99
Gilliam,2045,12.39,13.71
Grant,2045,13.7,13.99
Harney,2045,13.48,13.99
Hood River,2045,12.55,13.99
Jackson,2045,11.87,13.72
Jefferson,2045,13.03,13.99
Josephine,2045,12.82,13.99
Klamath,2045,12.88,13.99
Lake,2045,13.99,13.99
Lane,2045,12.1,13.66
Lincoln,2045,12.13,13.58
Linn,2045,12.71,13.99
Malheur,2045,12.72,13.99
Marion,2045,12.07,13.31
Morrow,2045,11.98,13.48
Multnomah,2045,10.29,11.54
Polk,2045,11.67,13.23
Sherman,2045,12.6,13.92
Tillamook,2045,12.26,13.99
Umatilla,2045,12.15,13.61
Union,2045,12.53,13.67
Wallowa,2045,12.57,13.99
Wasco,2045,12.78,13.99
Washington,2045,9.58,10.34
Wheeler,2045,12.87,13.99
Yamhill,2045,12.31,13.8
Baker,2050,13.02,13.99
Benton,2050,11.51,13.02
Clackamas,2050,10.66,11.76
Clatsop,2050,11.82,13.21
Columbia,2050,12.47,13.99
Coos,2050,13.22,13.99
Crook,2050,13.28,13.99
Curry,2050,12.34,13.99
Deschutes,2050,11.75,12.71
Douglas,2050,12.89,13.99
Gilliam,2050,12.39,13.71
Grant,2050,13.7,13.99
Harney,2050,13.48,13.99
Hood River,2050,12.55,13.99
Jackson,2050,11.87,13.72
Jefferson,2050,13.03,13.99
Josephine,2050,12.82,13.99
Klamath,2050,12.88,13.99
Lake,2050,13.99,13.99
Lane,2050,12.1,13.66
Lincoln,2050,12.13,13.58
Linn,2050,12.71,13.99
Malheur,2050,12.72,13.99
Marion,2050,12.07,13.31
Morrow,2050,11.98,13.48
Multnomah,2050,10.29,11.54
Polk,2050,11.67,13.23
Sherman,2050,12.6,13.92
Tillamook,2050,12.26,13.99
Umatilla,2050,12.15,13.61
Union,2050,12.53,13.67
Wallowa,2050,12.57,13.99
Wasco,2050,12.78,13.99
Washington,2050,9.58,10.34
Wheeler,2050,12.87,13.99
Yamhill,2050,12.31,13.8
